utc_timestamp,DE_KN_residential3_circulation_pump,DE_KN_residential3_dishwasher,DE_KN_residential3_freezer,DE_KN_residential3_grid_export,DE_KN_residential3_grid_import,DE_KN_residential3_pv,DE_KN_residential3_refrigerator,DE_KN_residential3_washing_machine
2014-12-19T14:00:00Z,13.422,12.929,5.463,,,,0.424,7.812
2014-12-19T15:00:00Z,13.497,12.933,5.465,,,,0.442,8.043
2014-12-19T16:00:00Z,13.564,12.936,5.507,,,,0.452,8.26
2014-12-19T17:00:00Z,13.632,12.938,5.548,,,,0.479,8.262
2014-12-19T18:00:00Z,13.7,12.941,5.55,,,,0.509,8.262
2014-12-19T19:00:00Z,13.768,12.943,5.592,,,,0.529,8.424
2014-12-19T20:00:00Z,13.836,12.945,5.634,,,,0.541,8.489
2014-12-19T21:00:00Z,13.904,12.948,5.641,,,,0.568,8.717
2014-12-19T22:00:00Z,13.946,12.951,5.678,,,,0.599,8.928
2014-12-19T23:00:00Z,13.955,12.953,5.72,,,,0.627,9.198
2014-12-20T00:00:00Z,14.012,12.955,5.735,,,,0.647,9.283
2014-12-20T01:00:00Z,14.076,12.958,5.764,,,,0.662,9.29
2014-12-20T02:00:00Z,14.145,12.96,5.81,,,,0.683,9.29
2014-12-20T03:00:00Z,14.208,12.963,5.854,,,,0.71,9.29
2014-12-20T04:00:00Z,14.277,12.966,5.898,,,,0.73,9.29
2014-12-20T05:00:00Z,14.347,12.968,5.911,,,,0.745,9.29
2014-12-20T06:00:00Z,14.418,12.971,5.944,,,,0.763,9.29
2014-12-20T07:00:00Z,14.488,12.973,5.988,,,,0.79,9.29
2014-12-20T08:00:00Z,14.557,12.975,6.028,,,,0.79,9.29
2014-12-20T09:00:00Z,14.671,12.978,6.035,,,,0.817,9.29
2014-12-20T10:00:00Z,14.784,12.981,6.076,,,,0.835,9.29
2014-12-20T11:00:00Z,14.89,12.984,6.121,,,,0.844,9.29
2014-12-20T12:00:00Z,14.975,12.986,6.136,,,,0.871,9.291
2014-12-20T13:00:00Z,15.067,12.989,6.167,,,,0.877,9.291
2014-12-20T14:00:00Z,15.149,12.991,6.21,,,,0.897,9.291
2014-12-20T15:00:00Z,15.222,12.993,6.243,,,,0.921,9.291
