utc_timestamp,DE_KN_residential1_dishwasher,DE_KN_residential1_freezer,DE_KN_residential1_grid_import,DE_KN_residential1_heat_pump,DE_KN_residential1_pv,DE_KN_residential1_washing_machine
2015-05-29T11:00:00Z,3.167,,109.982,50.006,292.601,2.74
2015-05-29T12:00:00Z,3.167,,110.417,50.025,298.421,2.822
2015-05-29T13:00:00Z,3.167,,110.812,50.035,304.167,2.825
2015-05-29T14:00:00Z,3.167,,111.217,50.045,308.446,2.827
2015-05-29T15:00:00Z,3.167,,111.572,50.061,311.481,2.828
2015-05-29T16:00:00Z,3.167,,111.957,50.076,312.687,2.828
2015-05-29T17:00:00Z,3.167,,112.432,50.086,312.985,2.828
2015-05-29T18:00:00Z,3.167,,112.867,50.096,313.048,2.828
2015-05-29T19:00:00Z,3.167,,113.397,50.455,313.048,2.828
2015-05-29T20:00:00Z,3.167,,113.897,50.775,313.048,2.828
2015-05-29T21:00:00Z,3.167,,114.272,51.105,313.048,2.828
2015-05-29T22:00:00Z,3.167,,114.602,51.416,313.048,2.828
2015-05-29T23:00:00Z,3.167,,114.942,51.426,313.048,2.829
2015-05-30T00:00:00Z,3.167,,115.277,51.445,313.048,2.829
2015-05-30T01:00:00Z,3.167,,115.597,51.455,313.048,2.829
2015-05-30T02:00:00Z,3.168,,115.947,51.47,313.048,2.829
2015-05-30T03:00:00Z,3.168,,116.277,51.541,313.056,2.829
2015-05-30T04:00:00Z,3.168,,116.662,52.275,313.353,2.829
2015-05-30T05:00:00Z,3.168,,117.022,52.285,314.546,2.829
2015-05-30T06:00:00Z,3.168,,117.472,52.305,317.558,2.829
2015-05-30T07:00:00Z,3.168,,117.862,52.316,321.032,2.829
2015-05-30T08:00:00Z,3.168,,118.877,52.331,322.911,2.829
2015-05-30T09:00:00Z,3.168,,119.792,52.346,325.2,2.829
2015-05-30T10:00:00Z,3.818,,120.627,52.355,328.407,2.829
2015-05-30T11:00:00Z,3.822,,121.497,52.365,332.497,2.829
2015-05-30T12:00:00Z,3.822,,122.102,52.38,337.231,2.829
2015-05-30T13:00:00Z,3.822,,122.567,52.395,343.163,2.829
2015-05-30T14:00:00Z,3.822,,123.212,52.406,346.337,2.829
2015-05-30T15:00:00Z,3.822,,123.647,52.416,348.546,2.829
2015-05-30T16:00:00Z,3.822,,124.072,52.426,350.081,2.829
2015-05-30T17:00:00Z,3.822,,124.582,52.445,350.687,2.829
2015-05-30T18:00:00Z,3.822,,125.772,53.076,350.837,2.829
2015-05-30T19:00:00Z,3.822,,127.247,53.436,350.837,2.83
2015-05-30T20:00:00Z,3.822,,128.747,53.805,350.837,2.83
2015-05-30T21:00:00Z,3.822,,130.332,54.145,350.837,2.83
2015-05-30T22:00:00Z,3.822,,131.987,54.506,350.837,2.83
2015-05-30T23:00:00Z,3.822,,133.497,54.525,350.837,2.83
2015-05-31T00:00:00Z,3.822,,134.862,54.535,350.837,2.83
2015-05-31T01:00:00Z,3.822,,136.197,54.545,350.837,2.83
2015-05-31T02:00:00Z,3.822,,137.527,54.566,350.837,2.83
2015-05-31T03:00:00Z,3.822,,138.867,54.641,350.837,2.83
2015-05-31T04:00:00Z,3.822,,140.117,55.686,351.142,2.83
2015-05-31T05:00:00Z,3.822,,140.582,56.035,352.337,2.83
2015-05-31T06:00:00Z,3.822,,141.557,56.045,355.538,2.83
2015-05-31T07:00:00Z,3.822,,142.012,56.055,359.757,2.83
2015-05-31T08:00:00Z,3.822,,142.492,56.076,365.767,2.83
2015-05-31T09:00:00Z,3.822,,142.962,56.086,372.472,2.83
2015-05-31T10:00:00Z,3.822,,143.997,56.096,379.382,2.903
2015-05-31T11:00:00Z,3.822,,145.022,56.115,386.067,3.23
2015-05-31T12:00:00Z,3.823,,145.932,56.125,392.411,3.313
2015-05-31T13:00:00Z,3.823,,146.322,56.135,397.731,3.316
2015-05-31T14:00:00Z,3.823,,146.687,56.156,401.853,3.318
2015-05-31T15:00:00Z,3.823,,147.077,56.166,404.862,3.319
2015-05-31T16:00:00Z,3.823,,147.522,56.176,406.202,3.319
2015-05-31T17:00:00Z,3.823,,147.967,56.195,406.542,3.319
2015-05-31T18:00:00Z,3.823,,148.502,56.475,406.646,3.319
2015-05-31T19:00:00Z,3.823,,149.087,56.486,406.646,3.319
2015-05-31T20:00:00Z,3.823,,149.657,56.795,406.646,3.319
2015-05-31T21:00:00Z,3.823,,150.032,57.295,406.646,3.319
2015-05-31T22:00:00Z,3.823,,150.382,57.561,406.646,3.319
2015-05-31T23:00:00Z,3.823,,150.702,57.576,406.646,3.319
2015-06-01T00:00:00Z,3.823,,151.032,57.586,406.646,3.319
2015-06-01T01:00:00Z,3.823,,151.357,57.605,406.646,3.319
2015-06-01T02:00:00Z,3.823,,151.672,57.615,406.646,3.319
2015-06-01T03:00:00Z,3.823,,152.022,57.705,406.651,3.319
2015-06-01T04:00:00Z,3.823,,152.392,58.375,407.013,3.319
2015-06-01T05:00:00Z,3.823,,152.802,58.385,408.138,3.319
2015-06-01T06:00:00Z,3.823,,153.172,58.406,411.526,3.319
2015-06-01T07:00:00Z,3.823,,153.547,58.416,416.767,3.319
2015-06-01T08:00:00Z,3.823,,153.942,58.431,423.161,3.319
2015-06-01T09:00:00Z,3.824,,154.302,58.445,429.981,3.32
2015-06-01T10:00:00Z,4.473,,154.862,58.455,437.462,3.32
2015-06-01T11:00:00Z,4.477,,155.262,58.465,444.747,3.32
2015-06-01T12:00:00Z,4.477,,155.632,58.475,450.991,3.32
2015-06-01T13:00:00Z,4.477,,155.977,58.496,454.138,3.32
2015-06-01T14:00:00Z,4.477,,156.342,58.506,459.042,3.32
2015-06-01T15:00:00Z,4.477,,156.672,58.516,460.567,3.32
2015-06-01T16:00:00Z,4.477,,157.032,58.525,461.462,3.32
2015-06-01T17:00:00Z,4.477,,157.492,58.656,462.101,3.32
2015-06-01T18:00:00Z,4.477,,157.957,58.79,462.267,3.32
2015-06-01T19:00:00Z,4.477,,158.512,58.805,462.267,3.32
2015-06-01T20:00:00Z,4.478,,158.987,58.986,462.267,3.32
2015-06-01T21:00:00Z,4.478,,159.332,59.406,462.267,3.32
2015-06-01T22:00:00Z,4.478,,159.642,59.416,462.267,3.32
2015-06-01T23:00:00Z,4.478,,159.972,59.436,462.267,3.32
2015-06-02T00:00:00Z,4.478,,160.262,59.445,462.267,3.32
2015-06-02T01:00:00Z,4.478,,160.597,59.455,462.267,3.32
