utc_timestamp,DE_KN_residential1_dishwasher,DE_KN_residential1_freezer,DE_KN_residential1_grid_import,DE_KN_residential1_heat_pump,DE_KN_residential1_pv,DE_KN_residential1_washing_machine
2015-05-27T00:00:00Z,0,,0.301,0.01,0,0
2015-05-27T01:00:00Z,0,,0.309,0.011,0,0
2015-05-27T02:00:00Z,0,,0.31,0.02,0,0
2015-05-27T03:00:00Z,0,,0.341,0.347,0,0.001
2015-05-27T04:00:00Z,0,,0.404,1.645,0.009,0
2015-05-27T05:00:00Z,0,,0.575,2.078,0.135,0
2015-05-27T06:00:00Z,0,,0.348,0.34,0.492,0
2015-05-27T07:00:00Z,0,,2.235,0.01,1.464,0.001
2015-05-27T08:00:00Z,0,,1.898,0.59,5.248,0.001
2015-05-27T09:00:00Z,0,,1.784,0.279,2.197,0.002
2015-05-27T10:00:00Z,0,,0.853,0.01,5.148,0.073
2015-05-27T11:00:00Z,0,,0.45,0.021,4.656,0.327
2015-05-27T12:00:00Z,0,,0.425,0.01,6.621,0.083
2015-05-27T13:00:00Z,0,,0.415,0.299,4.928,0.003
2015-05-27T14:00:00Z,0,,0.375,0.01,3.486,0.002
2015-05-27T15:00:00Z,0.001,,0.385,0.011,3.23,0.001
2015-05-27T16:00:00Z,0,,0.61,0.459,1.26,0
2015-05-27T17:00:00Z,0,,0.595,0.391,0.32,0
2015-05-27T18:00:00Z,0,,0.5,0.75,0.084,0
2015-05-27T19:00:00Z,0,,0.605,0.57,0,0
2015-05-27T20:00:00Z,0,,0.495,0.829,0,0
2015-05-27T21:00:00Z,0,,0.365,0.55,0,0
2015-05-27T22:00:00Z,0,,0.38,0.621,0,0
2015-05-27T23:00:00Z,0,,0.315,0.01,0,0
2015-05-28T00:00:00Z,0,,0.345,0.02,0,0
2015-05-28T01:00:00Z,0,,0.33,0.009,0,0
2015-05-28T02:00:00Z,0,,0.33,0.02,0,0
2015-05-28T03:00:00Z,0,,0.38,0.461,0.026,0
2015-05-28T04:00:00Z,0,,0.42,1.65,0.299,0
2015-05-28T05:00:00Z,0,,0.45,0.959,1.316,0
2015-05-28T06:00:00Z,0,,0.415,0.02,3.16,0
2015-05-28T07:00:00Z,0,,0.865,0.015,5.436,0
2015-05-28T08:00:00Z,0,,0.95,0.215,6.728,0
2015-05-28T09:00:00Z,0.001,,1.025,0.02,7.356,0.001
2015-05-28T10:00:00Z,0.649,,0.7,0.01,7.469,0
2015-05-28T11:00:00Z,0.004,,0.485,0.011,7.662,0
2015-05-28T12:00:00Z,0,,0.425,0.01,7.23,0
2015-05-28T13:00:00Z,0,,0.405,0.02,6.334,0
